Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Traffic,Actual_Delivery_Time,Parcel_Category,Distance_km,Day_of_Week,Is_Peak_Hour,Order_Minutes,Pickup_Minutes,Traffic_num,Vehicle_Motorcycle,Vehicle_Scooter,Vehicle_Van,Area_Other,Area_Semi-Urban,Area_Urban,Weather_Fog,Weather_Sandstorms,Weather_Stormy,Weather_Sunny,Weather_Windy,Parcel_Category_TE,Order_Hour,Pickup_Hour,Order_Slot,Pickup_Slot,First_Attempt_Success,Pickup_Slot_Mismatch,First_Attempt_Success_Prob
ialx566343618,37,4.9,22.745049,75.892471,22.765049,75.912471,2022-03-19,High,120,Clothing,3.025149285677504,5,1,690.0,705,3.0,1,0,0,0,0,1,0,0,0,1,0,130.48368953880765,11,11,11-12,11-12,1,0,0.6634579866447025
akqg208421122,34,4.5,12.913041,77.683237,13.043041,77.813237,2022-03-25,Jam,165,Electronics,20.183529728733618,4,1,1185.0,1190,4.0,0,1,0,0,0,0,0,0,1,0,0,130.83713583713583,19,19,19-20,19-20,1,0,0.010362179097242272
njpu434582536,23,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,Low,130,Sports,1.5527578022548725,5,1,510.0,525,1.0,1,0,0,0,0,1,0,1,0,0,0,132.24714968738508,8,8,8-9,8-9,1,0,0.8778646008205899
rjto796129700,38,4.7,11.003669,76.976494,11.053669,77.026494,2022-04-05,Medium,105,Cosmetics,7.790401360105752,1,1,1080.0,1090,2.0,1,0,0,0,0,0,0,0,0,1,0,132.90250280164364,18,18,18-19,18-19,1,0,0.2554943646808635
zguw716275638,32,4.6,12.972793,80.249982,13.012793,80.289982,2022-03-26,High,150,Toys,6.2101379656240985,5,0,810.0,825,3.0,0,1,0,0,0,0,0,0,0,0,0,129.39590075512405,13,13,13-14,13-14,1,0,0.45004054013421146
fxuu788413734,22,4.8,17.431668,78.408321,17.461668,78.438321,2022-03-11,Jam,130,Toys,4.610365144357059,4,1,1280.0,1290,4.0,1,0,0,0,0,1,0,0,0,0,0,129.39590075512405,21,21,21-22,21-22,1,0,0.06119638145328524
njmo150975311,33,4.7,23.369746,85.33982,23.479746,85.44982,2022-03-04,Jam,200,Toys,16.600361127912656,4,1,1155.0,1170,4.0,0,1,0,0,0,0,1,0,0,0,0,129.39590075512405,19,19,19-20,19-20,1,0,0.019454740116829218
jvjc772545076,35,4.6,12.352058,76.60665,12.482058,76.73665,2022-03-14,Medium,160,Snacks,20.20525323529291,0,0,1045.0,1050,2.0,1,0,0,0,0,0,0,0,0,0,0,131.9043321299639,17,17,17-18,17-18,1,0,0.227890230284761
uaeb808891380,22,4.8,17.433809,78.386744,17.563809,78.516744,2022-03-20,Jam,170,Electronics,19.975520086221444,6,1,1255.0,1265,4.0,1,0,0,0,0,0,0,0,1,0,0,130.83713583713583,20,21,20-21,21-22,1,1,0.006067178174781422
bgvc052754213,36,4.2,30.327968,78.046106,30.397968,78.116106,2022-02-12,Jam,230,Toys,10.280582064621877,5,1,1315.0,1330,4.0,1,0,0,0,0,0,1,0,0,0,0,129.39590075512405,21,22,21-22,22-23,1,1,0.005800296242024696
